Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
2.576700e+02	1.803271e+02	4.991618e-03	3.088948e+17	1.971205e+18	1.137502e-02
2.586700e+02	1.807317e+02	4.882594e-03	3.020823e+17	1.927794e+18	1.112653e-02
2.596700e+02	1.811363e+02	4.773570e-03	2.952699e+17	1.884382e+18	1.087804e-02
2.606700e+02	1.815408e+02	4.664546e-03	2.884575e+17	1.840970e+18	1.062955e-02
2.616700e+02	1.819454e+02	4.555523e-03	2.816451e+17	1.797558e+18	1.038107e-02
2.626700e+02	1.823500e+02	4.446499e-03	2.748327e+17	1.754146e+18	1.013258e-02
2.636700e+02	1.827546e+02	4.337475e-03	2.680203e+17	1.710734e+18	9.884087e-03
2.646700e+02	1.831591e+02	4.228451e-03	2.612079e+17	1.667322e+18	9.635598e-03
2.656700e+02	1.835637e+02	4.119427e-03	2.543955e+17	1.623910e+18	9.387109e-03
2.666700e+02	1.839683e+02	4.010403e-03	2.475831e+17	1.580498e+18	9.138620e-03
2.676700e+02	1.843729e+02	3.901379e-03	2.407707e+17	1.537086e+18	8.890131e-03
2.686700e+02	1.847774e+02	3.792356e-03	2.339583e+17	1.493674e+18	8.641642e-03
2.696700e+02	1.851820e+02	3.683332e-03	2.271459e+17	1.450263e+18	8.393153e-03
2.706700e+02	1.855866e+02	3.574308e-03	2.203335e+17	1.406851e+18	8.144663e-03
2.716700e+02	1.859911e+02	3.465284e-03	2.135211e+17	1.363439e+18	7.896174e-03
2.726700e+02	1.863957e+02	3.356260e-03	2.067087e+17	1.320027e+18	7.647685e-03
2.736700e+02	1.868003e+02	3.247236e-03	1.998963e+17	1.276615e+18	7.399196e-03
2.746700e+02	1.872049e+02	3.138212e-03	1.930839e+17	1.233203e+18	7.150707e-03
2.756700e+02	1.876094e+02	3.029189e-03	1.862715e+17	1.189791e+18	6.902218e-03
2.766700e+02	1.880140e+02	2.920165e-03	1.794591e+17	1.146379e+18	6.653729e-03
2.776700e+02	1.884186e+02	2.811141e-03	1.726467e+17	1.102967e+18	6.405240e-03
2.786700e+02	1.888232e+02	2.702117e-03	1.658343e+17	1.059555e+18	6.156751e-03
2.796700e+02	1.892277e+02	2.593093e-03	1.590219e+17	1.016144e+18	5.908261e-03
2.806700e+02	1.896323e+02	2.484069e-03	1.522095e+17	9.727316e+17	5.659772e-03
2.816700e+02	1.900369e+02	2.375045e-03	1.453971e+17	9.293197e+17	5.411283e-03
2.826700e+02	1.904414e+02	2.266022e-03	1.385846e+17	8.859078e+17	5.162794e-03
2.836700e+02	1.908460e+02	2.156998e-03	1.317722e+17	8.424959e+17	4.914305e-03
2.846700e+02	1.912506e+02	2.047974e-03	1.249598e+17	7.990840e+17	4.665816e-03
